,Name,Year,Mileage,Count Raiting,Rating,Fuel type,Interior color,Exterior_color,Price,bind_price
7936,Tesla Model 3 Long Range,2021,7956.0,8384.0,4.3,1, Black , White ,58590.0,8
7937,Tesla Model 3 Performance,2018,16910.0,8384.0,4.3,1, Black , Silver ,53590.0,8
7939,Tesla Model 3 Performance,2020,9505.0,861.0,4.6,1, Black , Midnight Silver Metallic ,59990.0,8
7940,Tesla Model 3 Performance,2018,27946.0,1.0,1.0,1, Black , Midnight Silver Metallic ,51999.0,8
7941,Tesla Model 3 Performance,2018,31385.0,3.0,4.3,1, White , Black ,59500.0,8
7942,Tesla Model 3 Long Range,2021,15609.0,671.0,4.7,1, Black , Deep Blue Metallic ,56998.0,8
7944,Tesla Model 3 Long Range,2020,9321.0,1383.0,4.7,1, White / Black , Black ,53654.0,8
7945,Tesla Model 3 Long Range,2021,17484.0,2.0,1.0,1, White / Black , Red Multi ,57998.0,8
7947,Tesla Model 3 Long Range,2021,19054.0,8381.0,4.3,1, Black , White ,54990.0,8
7948,Tesla Model 3 Long Range,2021,14651.0,7344.0,3.7,1, Black , Gray ,58999.0,8
7949,Tesla Model 3 Performance,2021,10287.0,3.0,3.7,1, Black , Midnight Silver Metallic ,63872.0,9
7950,Tesla Model 3 Long Range,2021,13323.0,565.0,4.8,1, Tan , Black ,58995.0,8
7951,Tesla Model 3 Long Range,2018,19708.0,27.0,4.8,1, Black , Midnight Silver Metallic ,49989.0,7
7952,Tesla Model 3 Performance,2019,17708.0,8385.0,4.3,1, White / Black , Black ,55990.0,8
7953,Tesla Model 3 Performance,2020,26704.0,8381.0,4.3,1, Black , White ,58990.0,8
7955,Tesla Model 3 Long Range,2021,3855.0,251.0,3.7,1, White / Black , Pearl White Multi ,62995.0,9
7956,Tesla Model 3 Performance,2020,11161.0,56.0,4.6,1, White / Black , Pearl White Multi ,61988.0,9
7957,Tesla Model 3 Performance,2020,20660.0,122.0,4.2,1, Black , Pearl White Multi ,61955.0,9
7958,Tesla Model 3 Performance,2021,2749.0,6327.0,4.9,1, Black , UNKNOWN ,64599.0,9
7959,Tesla Model 3 Long Range,2018,26934.0,1.0,1.0,1, Black , Gray ,46999.0,7
7960,Tesla Model 3 Long Range,2019,42934.0,1.0,5.0,1, Black , Black ,48999.0,7
7961,Tesla Model 3 Long Range,2020,18534.0,8387.0,4.3,1, Black , White ,52590.0,8
7962,Tesla Model 3 Long Range,2019,21313.0,1.0,1.0,1, Black , Pearl White Multi-Coat ,51999.0,8
7963,Tesla Model 3 Long Range,2019,22117.0,7339.0,3.7,1, Black , Pearl White Multi-Coat ,48999.0,7
